,portfolio_return,benchmark_return,regime,portfolio_growth,benchmark_growth
2016-03-31,0.07710430993962669,0.0672661931731775,Inflationary,1.2163729488990611,1.2064365911448232
2016-04-30,0.03144109147655346,0.003940967410761775,Inflationary,1.2546170420550016,1.2111911184336754
2016-05-31,0.006117977649815415,0.01701132682151063,Inflationary,1.2622927610773718,1.2317950863926617
2016-06-30,0.014948890586761488,0.0034759011612199853,Inflationary,1.2811626374511784,1.2360766843638389
2016-07-31,0.015348899341619118,0.036471424336597336,Inflationary,1.3008270738136598,1.2811581616318468
2016-08-31,0.0063279032893380155,0.0011975367771488443,Inflationary,1.3090585817329052,1.2826923956477454
2016-09-30,0.005218534393792168,5.819861038092178e-05,Inflationary,1.3158899489651674,1.2827670465627183
2016-10-31,-0.011656106288709916,-0.01733717673168067,Inflationary,1.3005517958557844,1.2605274875708845
2016-11-30,0.06099004603254831,0.03683848126521472,Inflationary,1.379872509752742,1.3069634058060526
2016-12-31,0.022567244587455827,0.020271922708472667,Inflationary,1.4110124301798388,1.3334580669513552
2017-01-31,0.0016627428329368918,0.017894437132055074,Inflationary,1.4133585809853053,1.3573195484986478
2017-02-28,0.02655006857519601,0.039291668428951265,Inflationary,1.4508833482318069,1.4106508981503905
2017-03-31,-0.010136793380204068,0.0012499432606258853,Inflationary,1.4361760435120023,1.4124141317336294
2017-04-30,-0.002746682273982781,0.009926095288460113,Inflationary,1.4322313242309692,1.426433888991985
2017-05-31,-0.0006292968380106852,0.014113138621568044,Inflationary,1.4313300255873307,1.4465653482018312
2017-06-30,0.010004177172695871,0.006374966937872317,Inflationary,1.4456493047559058,1.4557871544700898
2017-07-31,0.018422569959357638,0.020553742383032425,Inflationary,1.4722818802094682,1.4857090286075958
2017-08-31,-0.015623809090538383,0.002917734865661492,Inflationary,1.4492792291856165,1.4900439336405922
2017-09-30,0.044894475480668196,0.020149578268989554,Inflationary,1.5143438600049317,1.5200676905057164
2017-10-31,0.010537075806113322,0.023564000521536954,Inflationary,1.530300616054326,1.5558865663575647
2017-11-30,0.03137851345808612,0.03056601947731097,Inflationary,1.5783191745301042,1.6034438254493366
2017-12-31,0.02016883377997055,0.012127866756282524,Inflationary,1.6101520316129423,1.62289017851557
2018-01-31,0.04185288924909096,0.05635915510796985,Inflationary,1.6775415462662377,1.7143548978097298
2018-02-28,-0.059843269632172534,-0.036360546424748286,Inflationary,1.5771519751938556,1.6520200169594246
2018-03-31,-0.008802017171170063,-0.027410387624182686,Inflationary,1.5632698564266545,1.606737507931658
2018-04-30,0.023077153968088113,0.00516838053876123,Inflationary,1.5993456755970834,1.6150417387985496
2018-05-31,0.013430579376198846,0.024308819009623228,Inflationary,1.6208258146431704,1.6543014961199907
2018-06-30,0.00301662071628448,0.005751256168665453,Inflationary,1.6257152313731118,1.6638158078043832
2018-07-31,0.0367468606369164,0.037045977729138535,Inflationary,1.6854551624156917,1.7254534911656931
2018-08-31,0.0023414045943836344,0.03192019634047982,Inflationary,1.6894014948765996,1.7805303053800685
2018-09-30,0.008244673922816364,0.00594572927657544,Inflationary,1.7033300593265757,1.7911168565445965
2018-10-31,-0.06817707000888731,-0.06910469360023797,Inflationary,1.5872020066236256,1.6673422749708608
2018-11-30,0.02505396832248917,0.018549457484633658,Mixed,1.626967715418965,1.6982705696127651
2018-12-31,-0.09258155585807847,-0.08804832746321367,Mixed,1.4763405129946137,1.548740686378362
2019-01-31,0.07780611197915324,0.08006525742207793,Mixed,1.5912088282680332,1.6727410081132912
2019-02-28,0.0343993715062505,0.03241594508279455,Mixed,1.645945411895651,1.72696448877003
2019-03-31,0.014710412600031036,0.01810070923997964,Mixed,1.6701579480217639,1.7582237708490263
2019-04-30,0.03413937001277283,0.04085226767143757,Mixed,1.727176088189052,1.830051198962035
2019-05-31,-0.06167370771119867,-0.06377122906796462,Mixed,1.620654734960309,1.7133465847469238
2019-06-30,0.07077656436283579,0.069586453412249,Mixed,1.735359109119162,1.8325722970454517
2019-07-31,0.009023961129045787,0.015119559532369209,Mixed,1.7510189222647887,1.860279982988001
2019-08-31,-0.016235164458419667,-0.016743342932985628,Mixed,1.722590842092015,1.8291326772814642
2019-09-30,0.024739743544122086,0.019457643899479793,Mixed,1.765207297756825,1.8647232895609092
2019-10-31,0.018535472492032072,0.022104889118638393,Growth,1.797926249067131,1.9059427911135958
2019-11-30,0.035944255574218584,0.036197893365023326,Growth,1.8625513696671963,1.9749339050261607
2019-12-31,0.02928002961111876,0.029055656814811925,Growth,1.9170869289232817,2.0323169068025373
2020-01-31,0.0005286869490632448,-0.0004035338389508647,Growth,1.9181004677628233,2.0314967981591705
2020-02-29,-0.08838724848537856,-0.07916586315487761,Growth,1.7485648450987497,1.8706716006365296
2020-03-31,-0.13960097181192255,-0.1248712611784416,Growth,1.5044634934468004,1.6370784786143522
2020-04-30,0.13263533931311358,0.12698319418564252,Growth,1.704008519384309,1.8449599329613746
2020-05-31,0.050366821770684966,0.04764552300770708,Growth,1.7898340127758674,1.9328640138955835
2020-06-30,0.02025658730904232,0.017734096691004675,Growth,1.8260899417243555,1.9671416112085711
2020-07-31,0.051557863259109396,0.05889224621093314,Growth,1.9202392372386148,2.082990999307638
2020-08-31,0.0710128871171806,0.0697969107563039,Growth,2.0566009694306215,2.2283773361924974
2020-09-30,-0.03300164908213858,-0.03744351218687292,Growth,1.9887297459354862,2.1449390622478224
